from,to,element
1,34,converter_boost_transformer
2,35,converter_boost_transformer
3,36,converter_boost_transformer
4,37,converter_boost_transformer
5,38,converter_boost_transformer
6,39,converter_boost_transformer
7,40,converter_boost_transformer
8,41,converter_boost_transformer
9,42,converter_boost_transformer
10,43,converter_boost_transformer
11,44,converter_boost_transformer
12,45,converter_boost_transformer
13,46,converter_boost_transformer
14,47,converter_boost_transformer
15,48,converter_boost_transformer
16,49,converter_boost_transformer
17,50,converter_boost_transformer
18,51,converter_boost_transformer
19,52,converter_boost_transformer
20,53,converter_boost_transformer
21,54,converter_boost_transformer
22,55,converter_boost_transformer
23,56,converter_boost_transformer
24,57,converter_boost_transformer
25,58,converter_boost_transformer
26,59,converter_boost_transformer
27,60,converter_boost_transformer
28,61,converter_boost_transformer
29,62,converter_boost_transformer
30,63,converter_boost_transformer
31,64,converter_boost_transformer
32,65,converter_boost_transformer
33,66,converter_boost_transformer
34,35,collector_line_string_1
35,36,collector_line_string_1
36,37,collector_line_string_1
37,38,collector_line_string_1
38,39,collector_line_string_1
39,40,collector_line_string_1
40,41,collector_line_string_1
41,42,collector_line_string_1
42,43,collector_line_string_1
43,44,collector_line_string_1
44,67,collector_line_string_1_to_pcc
45,46,collector_line_string_2
46,47,collector_line_string_2
47,48,collector_line_string_2
48,49,collector_line_string_2
49,50,collector_line_string_2
50,51,collector_line_string_2
51,52,collector_line_string_2
52,53,collector_line_string_2
53,54,collector_line_string_2
54,55,collector_line_string_2
55,67,collector_line_string_2_to_pcc
56,57,collector_line_string_3
57,58,collector_line_string_3
58,59,collector_line_string_3
59,60,collector_line_string_3
60,61,collector_line_string_3
61,62,collector_line_string_3
62,63,collector_line_string_3
63,64,collector_line_string_3
64,65,collector_line_string_3
65,66,collector_line_string_3
66,67,collector_line_string_3_to_pcc
67,68,grid_transformer_35_220
