from,to,x
90,93,0.00800
88,92,0.00325
90,97,0.00454
91,97,0.00065
85,91,0.00325
86,87,0.00195
86,90,0.00325
87,92,0.00325
81,89,0.00164
82,91,0.00114
83,91,0.00098
84,91,0.00114
77,78,0.00061
79,80,0.00014
79,90,0.00164
80,89,0.00014
72,88,0.00114
74,88,0.00098
75,88,0.00061
76,85,0.00098
69,87,0.00012
70,87,0.00038
71,88,0.00189
72,88,0.00164
65,87,0.00174
66,87,0.00140
67,87,0.00108
68,87,0.00026
61,86,0.00127
62,86,0.00066
63,87,0.00079
64,87,0.00234
55,86,0.00018
56,86,0.00076
57,86,0.00176
58,86,0.000246
59,86,0.00213
60,86,0.00148
56,86,0.00076
