node,sensitivity
1,-0.0017
2,-0.0018
3,-0.0019
4,-0.0020
5,-0.0021
6,-0.0022
7,-0.0023
8,-0.0024
9,-0.0024
10,-0.0025
11,-0.0025
12,-0.0017
13,-0.0018
14,-0.0019
15,-0.0020
16,-0.0021
17,-0.0022
18,-0.0023
19,-0.0024
20,-0.0024
21,-0.0025
22,-0.0025
23,-0.0017
24,-0.0018
25,-0.0019
26,-0.0020
27,-0.0021
28,-0.0022
29,-0.0023
30,-0.0024
31,-0.0024
32,-0.0025
33,-0.0025
34,-0.0015
35,-0.0083
36,-0.0090
37,-0.0096
38,-0.0101
39,-0.0106
40,-0.0111
41,-0.0114
42,-0.0117
43,-0.0120
44,-0.0121
45,-0.0122
46,-0.0083
47,-0.0090
48,-0.0096
49,-0.0101
50,-0.0106
51,-0.0111
52,-0.0114
53,-0.0117
54,-0.0120
55,-0.0121
56,-0.0122
57,-0.0083
58,-0.0090
59,-0.0096
60,-0.0101
61,-0.0106
62,-0.0111
63,-0.0114
64,-0.0117
65,-0.0120
66,-0.0121
67,-0.0122
