from,to,x
1,2,0.0411
1,39,0.0250
2,3,0.0151
2,30,0.0181
3,4,0.0213
3,18,0.0133
4,14,0.0129
5,8,0.0112
5,6,0.0026
6,11,0.0082
7,8,0.0046
8,9,0.0363
10,11,0.0043
10,13,0.0043
10,32,0.0200
12,13,0.0435
13,14,0.0101
14,15,0.0217
16,17,0.0089
16,19,0.0195
16,21,0.0135
17,18,0.0082
17,27,0.0173
19,33,0.0142
20,34,0.0180
21,22,0.0140
22,23,0.0096
23,24,0.0350
23,36,0.0272
25,26,0.0323
26,27,0.0147
26,28,0.0474
26,29,0.0625
29,38,0.0156
6,31,0.0250
19,20,0.0138
2,25,0.0086
11,12,0.0435
22,35,0.0143
4,5,0.0128
15,16,0.0094
25,37,0.0232
6,7,0.0092
16,24,0.0059
28,29,0.0151
9,39,0.0250
