table_name,rows,columns,variables
ref20_33converter_derived_reactances,3,3,"element,reactance_pu,derivation"
ref20_33converter_topology_inferred_from_fig7,67,3,"from,to,element"
ref20_table_bi_converter_parameters,15,2,"parameter,value"
ref20_table_bii_33converter_system_parameters,11,3,"parameter,value,unit_or_note"
ref20_table_biii_practical_wind_system_line_reactances,39,3,"from,to,x"
table_i_two_area_first_iteration_sensitivity,9,2,"node,sensitivity"
table_ii_two_area_second_iteration_sensitivity,9,2,"node,sensitivity"
table_iii_two_area_two_se_gscr,45,3,"node_a,node_b,gscr"
table_iv_ieee39_first_iteration_sensitivity,38,2,"node,sensitivity"
table_ix_control_parameters,11,2,"parameter,value"
table_v_ieee39_successive_placement,4,4,"installed_ses,gscr,weakest_eigenvalue,damping"
table_vi_ieee39_participation_factors,18,2,"variable,participation"
table_vii_ieee39_one_se_damping,38,2,"node,damping"
table_viii_33converter_first_iteration_sensitivity,67,2,"node,sensitivity"
table_x_two_area_cbr_capacities,4,2,"node,capacity"
table_x_two_area_lines,8,3,"from,to,x"
table_xi_ieee39_lines,46,3,"from,to,x"
table_xii_ieee39_second_iteration_sensitivity,38,2,"node,sensitivity"
table_xiii_ieee39_third_iteration_sensitivity,38,2,"node,sensitivity"
