from,to,x,element
1,34,0.067,converter_boost_transformer
2,35,0.067,converter_boost_transformer
3,36,0.067,converter_boost_transformer
4,37,0.067,converter_boost_transformer
5,38,0.067,converter_boost_transformer
6,39,0.067,converter_boost_transformer
7,40,0.067,converter_boost_transformer
8,41,0.067,converter_boost_transformer
9,42,0.067,converter_boost_transformer
10,43,0.067,converter_boost_transformer
11,44,0.067,converter_boost_transformer
12,45,0.067,converter_boost_transformer
13,46,0.067,converter_boost_transformer
14,47,0.067,converter_boost_transformer
15,48,0.067,converter_boost_transformer
16,49,0.067,converter_boost_transformer
17,50,0.067,converter_boost_transformer
18,51,0.067,converter_boost_transformer
19,52,0.067,converter_boost_transformer
20,53,0.067,converter_boost_transformer
21,54,0.067,converter_boost_transformer
22,55,0.067,converter_boost_transformer
23,56,0.067,converter_boost_transformer
24,57,0.067,converter_boost_transformer
25,58,0.067,converter_boost_transformer
26,59,0.067,converter_boost_transformer
27,60,0.067,converter_boost_transformer
28,61,0.067,converter_boost_transformer
29,62,0.067,converter_boost_transformer
30,63,0.067,converter_boost_transformer
31,64,0.067,converter_boost_transformer
32,65,0.067,converter_boost_transformer
33,66,0.067,converter_boost_transformer
34,35,0.000130286,collector_line_string_1
35,36,0.000130286,collector_line_string_1
36,37,0.000130286,collector_line_string_1
37,38,0.000130286,collector_line_string_1
38,39,0.000130286,collector_line_string_1
39,40,0.000130286,collector_line_string_1
40,41,0.000130286,collector_line_string_1
41,42,0.000130286,collector_line_string_1
42,43,0.000130286,collector_line_string_1
43,44,0.000130286,collector_line_string_1
44,67,0.000130286,collector_line_string_1_to_pcc
45,46,0.000130286,collector_line_string_2
46,47,0.000130286,collector_line_string_2
47,48,0.000130286,collector_line_string_2
48,49,0.000130286,collector_line_string_2
49,50,0.000130286,collector_line_string_2
50,51,0.000130286,collector_line_string_2
51,52,0.000130286,collector_line_string_2
52,53,0.000130286,collector_line_string_2
53,54,0.000130286,collector_line_string_2
54,55,0.000130286,collector_line_string_2
55,67,0.000130286,collector_line_string_2_to_pcc
56,57,0.000130286,collector_line_string_3
57,58,0.000130286,collector_line_string_3
58,59,0.000130286,collector_line_string_3
59,60,0.000130286,collector_line_string_3
60,61,0.000130286,collector_line_string_3
61,62,0.000130286,collector_line_string_3
62,63,0.000130286,collector_line_string_3
63,64,0.000130286,collector_line_string_3
64,65,0.000130286,collector_line_string_3
65,66,0.000130286,collector_line_string_3
66,67,0.000130286,collector_line_string_3_to_pcc
67,68,0.001014286,grid_transformer_35_220
