node_a,node_b,gscr_computed
1,1,3.298401
1,2,3.654968
1,3,3.407593
1,4,3.499720
1,5,3.310522
1,6,3.130495
1,7,3.082261
1,8,3.089591
1,9,3.232341
2,2,3.163701
2,3,3.271807
2,4,3.334350
2,5,3.100545
2,6,2.970446
2,7,2.941585
2,8,2.955029
2,9,3.097418
3,3,3.137071
3,4,3.672018
3,5,3.108805
3,6,2.960515
3,7,2.932875
3,8,2.946294
3,9,3.062476
4,4,3.162827
4,5,3.186211
4,6,3.052066
4,7,3.041377
4,8,3.070558
4,9,3.256966
5,5,2.952213
5,6,2.832194
5,7,2.808410
5,8,2.822383
5,9,2.952818
6,6,2.704604
6,7,2.683859
6,8,2.698018
6,9,2.819120
7,7,2.659878
7,8,2.673076
7,9,2.793155
8,8,2.684798
8,9,2.805471
9,9,2.918515
